movie_poster,movie_name,movie_description,movie_trailer,movie_actress,movie_genres,movie_release,movie_length,movie_director
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/s/n/sne_poster_470x700.jpg,SPEAK NO EVIL,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",https://www.youtube.com/embed/VypozL0dbj4?rel=0&showinfo=0,"James McAvoy, Mackenzie Davis, Scoot McNairy,...","Drama, Horror, Thriller",2024-09-13,,James Watkins
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/t/f/tf1_poster_470x700.jpg,TRANSFORMERS ONE,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",https://www.youtube.com/embed/WLqCKr2h1BI?rel=0&showinfo=0,Chris Hemsworth; Brian Tyree Henry; Scarlett Johansson,"Action, Adventure, Animation",2024-09-20,,Josh Cooley
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/o/poster_joker_folie_a_deux_1.jpg,JOKER: FOLIE À DEUX,Sequel to the film “JOKER” from 2019,https://www.youtube.com/embed/gxWLZoMT2MU?rel=0&showinfo=0,Sequel to the film “JOKER” from 2019,"Crime, Drama, Musicals, Thriller",2024-10-04,,Todd Phillips
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/w/r/wrb_poster_470x700.jpg,THE WILD ROBOT,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",https://www.youtube.com/embed/2l8_FNIBWLM?rel=0&showinfo=0,"Lupita Nyong'o, Pedro Pascal, Catherine O’hara, Bill Nighy,...","Adventure, Animation, Family, Science Fiction",2024-10-11,,Chris Sanders
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/s/m/sm2_intl_dgtl_online_tsr_1sht_torn_ov_400x633.jpg,SMILE 2,"About to embark on a new world tour, global pop sensation Skye Riley (Naomi Scott) begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",https://www.youtube.com/embed/YMD-wGpbB3M?rel=0&showinfo=0,"Rosemarie DeWitt, Kyle Gallner, Naomi Scott, Dylan Gelula, Raul Castillo, Daphne Zelle, Lukas Gage.","Horror, Mystery, Thriller",2024-10-18,,Parker Finn
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/r/s/rsz_vnm3_intl_online_1080x1350_tsr_01.jpg,VENOM: THE LAST DANCE,"Tom Hardy sẽ tái xuất trong bom tấn Venom: The Last Dance (Tựa Việt: Venom: Kèo Cuối) và phải đối mặt với kẻ thù lớn nhất từ trước đến nay - toàn bộ chủng tộc Symbiote
Venom: Kèo cuối - Dự kiến khởi chiếu 25.10.2024
#Venom #VenomTheLastDance",https://www.youtube.com/embed/id1rfr_KZWg?rel=0&showinfo=0,"Tom Hardy, Juno Temple, Chiwetel Ejiofor, Clark Backo, Stephen Graham","Action, Adventure, Fantasy, Science Fiction",2024-10-25,,Kelly Marcel
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/w/i/wicked_cgv.jpg,WICKED,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining cinematic event this holiday season",https://www.youtube.com/embed/IILf3ZEBnmM?rel=0&showinfo=0,"Cynthia Erivo, Ariana Grande, Jonathan Bailey","Fantasy, Musicals, Romance",2024-11-29,,Jon M. Chu
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/h/_/h_nh_tr_nh_c_a_moana_2.jpg,MOANA 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she has ever faced.",https://www.youtube.com/embed/yrohKVnDX7Q?rel=0&showinfo=0,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk","Adventure, Animation",2024-11-29,,David G. Derrick Jr.
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/m/u/mufasa.jpg,MUFASA: THE LION KING,"Simba, having become king of the Pride Lands, is determined for his cub to follow in his paw prints while the origins of his late father Mufasa are explored.",https://www.youtube.com/embed/pQ7Zk081yMY?rel=0&showinfo=0,,"Adventure, Family",2024-12-20,,Barry Jenkins
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/n/x/nxcmct_-_1st_look_poster_-_kc_10.2024_1_.jpg,ONCE UPON A LOVE STORY,"Once Upon A Love Story revolves around the friendship and love between two boys and a girl from childhood to adulthood, facing the challenges of fate. Spanning four stages from 1987 to 2000, three friends of the same age - Vinh, Mien, and Phuc - have loved, stumbled through life together and overcame obstacles hand in hand.",https://www.youtube.com/embed/clisHvIYcKo?rel=0&showinfo=0,"Avin Lu, Ngọc Xuân, Đỗ Nhật Hoàng, Thanh Tú, Bảo Tiên, Hạo Khang",Romance,2025-01-01,,Trịnh Đình Lê Minh
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/p/o/poster_1st_nhagiatien_70x100_1_.jpg,NHÀ GIA TIÊN,"First-look poster của Nhà Gia Tiên gây ấn tượng bởi hình ảnh mang màu sắc rực rỡ, nổi bật từ các họa tiết truyền thống, tái hiện bức Cửu Huyền Thất Tổ làm bằng Tranh Kiếng - dòng tranh nổi tiếng tại vùng đất Nam Bộ. Bức Cửu Huyền Thất Tổ thường xuất hiện trong không gian thờ cúng như bàn thờ gia tiên hay nhà thờ tổ để tỏ lòng kính trọng và nhớ ơn ông bà, tổ tiên. First-look poster dựa trên bức Cửu Huyền Thất Tổ đã truyền tải đúng tinh thần cốt lõi của dự án. Nhà Gia Tiên sẽ thuộc thể loại hài, linh dị, tập trung khai thác tình cảm gia đình để người xem cảm nhận những giá trị cốt lõi bên trong một căn nhà đặc biệt được truyền qua nhiều thế hệ ông cha.",No trailer,Huỳnh Lập,Comedy,2025-01-01,,Huỳnh Lập
https://iguov8nhvyobj.vcdn.cloud/media/catalog/product/cache/3/image/c5f0a1eff4c394a251036189ccddaacd/d/_/d_n_k_nh_v_n_hoa_1_.jpg,KÍNH VẠN HOA,"Sau sự thành công của hai phim điện ảnh chuyển thể từ hai tác phẩm đình đám của nhà văn Nguyễn Nhật Ánh, một tác phẩm nổi bật khác của nhà văn hiện đại thành công nhất Việt Nam chuẩn bị được đưa lên màn ảnh rộng: “Kính Vạn Hoa”. Và đạo diễn dự án bom tấn này là “đạo diễn trăm tỷ” Võ Thanh Hòa.",No trailer,,"Adventure, Comedy",2025-01-01,,Võ Thanh Hòa
